iter	Passed	Remaining
724	26008	9865
725	26042	9828
726	26086	9795
727	26131	9763
728	26160	9725
729	26194	9688
730	26227	9651
731	26263	9615
732	26295	9578
733	26326	9540
734	26360	9504
735	26392	9466
736	26420	9428
737	26450	9390
738	26497	9358
739	26542	9325
740	26573	9288
741	26604	9250
742	26636	9213
743	26666	9175
744	26700	9139
745	26736	9103
746	26767	9065
747	26797	9028
748	26833	8992
749	26877	8959
750	26910	8922
751	26942	8885
752	26977	8849
753	27007	8811
754	27038	8774
755	27075	8738
756	27118	8705
757	27158	8670
758	27203	8637
759	27242	8603
760	27278	8567
761	27316	8531
762	27347	8494
763	27385	8459
764	27422	8423
765	27456	8387
766	27488	8350
767	27535	8317
768	27573	8282
769	27643	8257
770	27692	8225
771	27731	8190
772	27781	8158
773	27818	8122
774	27858	8088
775	27894	8052
776	27930	8016
777	27966	7980
778	28012	7947
779	28046	7910
780	28082	7874
781	28116	7838
782	28145	7800
783	28177	7763
784	28207	7725
785	28237	7687
786	28269	7651
787	28304	7614
788	28335	7577
789	28368	7541
790	28397	7503
791	28426	7465
792	28454	7427
793	28487	7390
794	28521	7354
795	28560	7319
796	28588	7281
797	28620	7244
798	28650	7207
799	28681	7170
800	28714	7133
801	28747	7097
802	28781	7061
803	28840	7030
804	28869	6993
805	28899	6956
806	28930	6918
807	28963	6882
808	28997	6846
809	29059	6816
810	29092	6779
811	29122	6742
812	29153	6705
813	29185	6668
814	29218	6632
815	29261	6598
816	29307	6564
817	29335	6526
818	29368	6490
819	29401	6454
820	29436	6418
821	29468	6381
822	29525	6350
823	29556	6313
824	29587	6276
825	29620	6239
826	29653	6203
827	29698	6169
828	29727	6131
829	29761	6095
830	29791	6058
831	29822	6021
832	29856	5985
833	29917	5954
834	29949	5918
835	29997	5884
836	30029	5848
837	30060	5811
838	30095	5775
839	30124	5737
840	30181	5706
841	30212	5669
842	30242	5632
843	30274	5595
844	30305	5559
845	30338	5522
846	30372	5486
847	30405	5449
848	30437	5413
849	30465	5376
850	30497	5339
851	30530	5303
852	30562	5266
853	30593	5230
854	30622	5193
855	30652	5156
856	30698	5122
857	30729	5085
858	30764	5049
859	30799	5013
860	30829	4977
861	30869	4942
862	30899	4905
863	30929	4868
864	30960	4832
865	30993	4795
866	31030	4760
867	31062	4723
868	31096	4687
869	31128	4651
870	31162	4615
871	31195	4579
872	31227	4542
873	31262	4507
874	31307	4472
875	31338	4436
876	31370	4399
877	31416	4365
878	31452	4329
879	31483	4293
880	31515	4256
881	31544	4220
882	31574	4183
883	31622	4149
884	31654	4113
885	31684	4076
886	31714	4040
887	31748	4004
888	31780	3968
889	31813	3931
890	31858	3897
891	31888	3860
892	31920	3824
893	31965	3790
894	31995	3753
895	32025	3717
896	32060	3681
897	32093	3645
898	32126	3609
899	32160	3573
900	32192	3537
901	32222	3500
902	32263	3465
903	32297	3429
904	32329	3393
905	32342	3355
906	32372	3319
907	32407	3283
908	32450	3248
909	32481	3212
910	32509	3176
911	32539	3139
912	32570	3103
913	32603	3067
914	32640	3032
915	32673	2996
916	32704	2960
917	32747	2925
918	32780	2889
919	32816	2853
920	32847	2817
921	32882	2781
922	32916	2745
923	32946	2709
924	32976	2673
925	33008	2637
926	33041	2601
927	33081	2566
928	33110	2530
929	33141	2494
930	33174	2458
931	33205	2422
932	33237	2386
933	33273	2351
934	33314	2316
935	33344	2279
936	33376	2244
937	33408	2208
938	33439	2172
939	33474	2136
940	33505	2100
941	33547	2065
942	33594	2030
943	33624	1994
944	33654	1958
945	33691	1923
946	33726	1887
947	33758	1851
948	33793	1816
949	33829	1780
950	33864	1744
951	33896	1709
952	33928	1673
953	33961	1637
954	33994	1601
955	34024	1565
956	34057	1530
957	34086	1494
958	34121	1458
959	34156	1423
960	34189	1387
961	34219	1351
962	34249	1315
963	34288	1280
964	34318	1244
965	34350	1209
966	34382	1173
967	34417	1137
968	34462	1102
969	34503	1067
970	34532	1031
971	34565	995
972	34597	960
973	34631	924
974	34663	888
975	34693	853
976	34723	817
977	34752	781
978	34783	746
979	34817	710
980	34849	674
981	34882	639
982	34915	603
983	34961	568
984	34992	532
985	35023	497
986	35057	461
987	35106	426
988	35152	390
989	35184	355
990	35218	319
991	35257	284
992	35292	248
993	35335	213
994	35373	177
995	35386	142
996	35413	106
997	35447	71
998	35494	35
999	35529	0
