,url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places,awards_count
220,https://www.goodreads.com/book/show/18765.I_Claudius,"I, Claudius",Robert Graves,2696,59903,4.21,468,1934,True,"['Historical', 'Historical Fiction', 'Fiction']","James Tait Black Memorial Prize for Fiction (1934), Hawthornden Prize (1935), Audie Award for Audio Drama (2012)",Italy,3
221,https://www.goodreads.com/book/show/48328.Revolutionary_Road,Revolutionary Road,Richard Yates,6834,82193,3.9,355,1961,False,"['Fiction', 'Classics', 'Historical']",National Book Award Finalist for Fiction (1962),United States,1
222,https://www.goodreads.com/book/show/46199.Letters_to_a_Young_Poet,Letters to a Young Poet,"Rainer Maria Rilke, ",4297,55008,4.3,80,1929,False,"['Poetry', 'Nonfiction', 'Classics']",Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Γερμανόφωνη Λογοτεχνία (2011),,1
223,https://www.goodreads.com/book/show/10920.Cold_Mountain,Cold Mountain,Charles Frazier,5809,226368,3.87,449,1997,False,"['Historical', 'Historical Fiction', 'Fiction']","National Book Award for Fiction (1997), American Booksellers Book Of The Year  Award for Adult Trade (1998), Exclusive Books Boeke Prize (1998), Sue Kaufman Prize for First Fiction (1998), Chicago Tribune Heartland Prize for Fiction (1997)...moreNational Book Critics Circle Award Nominee for Fiction (1997), Weatherford Award (1997), Lillian Smith Book Award (1997), Thomas Wolfe Memorial Literary Award (1997)...less ",United States,8
224,https://www.goodreads.com/book/show/38709.Holes,Holes,Louis Sachar (Goodreads Author),21243,1012216,3.98,233,1998,True,"['Young Adult', 'Fiction', 'Childrens']","Newbery Medal (1999), National Book Award for Young People's Literature (1998), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001), Grand Canyon Reader Award for Teen Book (2001), Nene Award (2001)...moreMaryland Black-Eyed Susan Book Award for Grade 6-9 (2001), Massachusetts Children's Book Award (2001), Flicker Tale Children's Book Award (2000), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000), Dorothy Canfield Fisher Children's Book Award (2000), Evergreen Teen Book Award (2001), Soaring Eagle Book Award (2003), Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001), Zilveren Zoen (2000), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001), Boston Globe-Horn Book Award for Fiction (1999), New Mexico Land of Enchantment Award for Young Adult (2001), William Allen White Children's Book Award (2001), Oklahoma Sequoyah Award for Children and YA (2001), Rebecca Caudill Young Readers' Book Award (2002), Premi Protagonista Jove for Categoria 14-15 anys (2000)...less ",United States,21
225,https://www.goodreads.com/book/show/14497.Neverwhere,Neverwhere,Neil Gaiman (Goodreads Author),23630,448586,4.16,370,1996,True,"['Fantasy', 'Fiction', 'Fantasy']","Mythopoeic Fantasy Award Nominee for Adult Literature (1998), Prix Julia Verlanger (1999)",United Kingdom,2
226,https://www.goodreads.com/book/show/6319.The_BFG,The BFG,"Roald Dahl, ",10594,399489,4.21,199,1982,False,"['Fantasy', 'Childrens', 'Fiction']","Zilveren Griffel (1984), Books I Loved Best Yearly (BILBY) Awards for Read Aloud, Read Alone (1991), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1985), Red House Children's Book Award (1983), Deutscher Jugendliteraturpreis for Kinderbuch (1985)",United Kingdom,6
227,https://www.goodreads.com/book/show/11899.The_Hours,The Hours,Michael Cunningham (Goodreads Author),5246,127468,3.94,230,1998,False,"['Fiction', 'Historical', 'Historical Fiction']","Pulitzer Prize for Fiction (1999), Stonewall Book Award for Literature (1999), PEN/Faulkner Award for Fiction (1999), Ferro-Grumley Award for Gay Fiction (1999), National Book Critics Circle Award Nominee for Fiction (1998)...morePremio Grinzane Cavour for Narrativa Straniera (2000), International Dublin Literary Award Nominee for Shortlist (2000)...less ",United Kingdom,6
228,https://www.goodreads.com/book/show/233818.Island_of_the_Blue_Dolphins,Island of the Blue Dolphins,Scott O'Dell,8584,303476,3.84,184,1960,True,"['Young Adult', 'Fiction', 'Historical']","Newbery Medal (1961), Lewis Carroll Shelf Award (1961), Nene Award (1964), Dorothy Canfield Fisher Children's Book Award Nominee (1962), Deutscher Jugendliteraturpreis for Jugendbuch (1963)...moreWilliam Allen White Children's Book Award (1963)...less ",United States,5
229,https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,2072,81086,4.05,126,1966,False,"['Plays', 'Drama', 'Fiction']",New York Drama Critics' Circle Award for Best Play (1968),,1
230,https://www.goodreads.com/book/show/92517.The_Glass_Menagerie,The Glass Menagerie,"Tennessee Williams, ",2621,115140,3.71,104,1945,False,"['Plays', 'Classics', 'Drama']",New York Drama Critics' Circle Award for Best American Play (1945),United States,1
231,https://www.goodreads.com/book/show/122.The_Power_of_One,The Power of One,Bryce Courtenay,5381,82206,4.32,544,1989,True,"['Fiction', 'Historical', 'Historical Fiction']",West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1996),,1
232,https://www.goodreads.com/book/show/27333.Silent_Spring,Silent Spring,"Rachel Carson, ",2379,38385,3.99,378,1962,False,"['Nonfiction', 'Science', 'Environment']",National Book Award Finalist for Nonfiction (1963),,1
233,https://www.goodreads.com/book/show/187181.The_Chosen,The Chosen,Chaim Potok,4305,88385,4.04,304,1966,True,"['Fiction', 'Classics', 'Historical']","Edward Lewis Wallant Award (1967), National Book Award Finalist for Fiction (1968)",United States,2
